Name,Type,Agency,Dept.,URL,Handle,Abandoned,Personal Account
St. Louis Convention and Visitors Commissioninformation,Instagram,Economic Development,St. Louis Convention and Visitors Commission,https://www.instagram.com/explorestlouis/,explorestlouis,,
Division of Tourism,Instagram,Economic Development,Division of Tourism,https://www.instagram.com/visitmo/,visitmo,,
Division of State Parks,Instagram,Natural Resources,Division of State Parks,https://www.instagram.com/mostateparks/,mostateparks,,
My Missouri Steps Up,Instagram,Health,Office of Administration,https://www.instagram.com/mymissouristepsup/,mymissouristepsup,,
Missouri State Fair,Instagram,Agriculture,State Fair Commission,https://www.instagram.com/mostatefair/,mostatefair,,
Department of Agriculture,Instagram,Agriculture,Department of Agriculture,https://www.instagram.com/moagriculture/,moagriculture,,
MO.gov - State of Missouri,Instagram,Administration,Office of Administration,https://www.instagram.com/stateofmissouri/,stateofmissouri,,
Department of Conservation,Instagram,Conservation,Department of Conservation,https://www.instagram.com/moconservation/,moconservation,,
Governor's Mansion,Instagram,Governor,Governor,https://instagram.com/mogovmansion/,mogovmansion,Yes,
Office of the Secretary of State - Jay Ashcroft,Instagram,Secretary of State,Secretary of State,https://www.instagram.com/jayashcroftmo/,jayashcroftmo,,Yes
Office of the Attorney General - Josh Hawley,Instagram,Attorney General,Attorney General,https://www.instagram.com/joshhawleymo/,joshhawleymo,,Yes
Office of the State Auditor - Nicole Galloway,Instagram,Auditor,Auditor,https://www.instagram.com/auditorgalloway/,auditorgalloway,,
State of Missouri,Instagram,Office of Administration,Office of Administration,https://www.instagram.com/officialstateofmissouri/,officialstateofmissouri,Yes,
Missouri State Highway Patrol,Instagram,Public Safety,Missouri State Highway Patrol,https://www.instagram.com/mshptrooper/,mshptrooper,,
St. Louis Metro Police Department,Instagram,Public Safety,St. Louis Metro Police Department,https://www.instagram.com/stlouismetropd/,stlouismetropd,,
Office of the State Treasurer - Eric Schmitt,Instagram,Treasurer,Treasurer,https://www.instagram.com/ericschmittmo/,ericschmittmo,,Yes
Office of the Governor - Eric Greitens,Instagram,Governor,Governor,https://www.instagram.com/ericgreitens/,ericgreitens,,Yes
Every Mile Matters,Instagram,Transportation,Transportation,https://www.instagram.com/everymilematters/,everymilematters,,
Missouri Deferred Compensation,Instagram,Administration,Missouri Deferred Compensation,https://www.instagram.com/modeferredcomp/,modeferredcomp,,
MoDOT Northwest District,Instagram,Transportation,MoDOT Northwest District,https://www.instagram.com/modotnorthwst/,modotnorthwst,,
SaveMoLives,Instagram,Transportation,Transportation,https://www.instagram.com/savemolives/,savemolives,,
St. Louis Metro Police Department,Instagram,Public Safety,St. Louis Metro Police Department,https://www.instagram.com/stl_police/,stl_police,Yes,
MoDOT Southwest District,Instagram,Transportation,MoDOT Southwest District,https://www.instagram.com/modot_southwest/,modot_southwest,,
MoDOT Northeast District,Instagram,Transportation,MoDOT Northeast District,https://www.instagram.com/northeast.modot/,northeast.modot,,
MoDOT Kansas City District,Instagram,Transportation,MoDOT Kansas City District,https://www.instagram.com/modot_kc/,modot_kc,,
Echo Bluff State Park,Instagram,Natural Resources,Division of State Parks,https://www.instagram.com/echobluffstatepark/,echobluffstatepark,,
MO Governor Mansion,Instagram,Governor,Governor,https://www.instagram.com/fmgm1871/,fmgm1871,Yes,
Missouri Department of Transportation,Instagram,Transportation,Transportation,https://www.instagram.com/missouridot/,missouridot,,
Missouri National Guard,Instagram,Public Safety,Missouri National Guard,https://www.instagram.com/monationalguard/,monationalguard,,
Missouri Penitentiary Tours,Instagram,Economic Development,Division of Tourism,https://www.instagram.com/missouripentours/,missouripentours,,
Fish Class,Instagram,Conservation,Department of Conservation,https://www.instagram.com/mcddiscoverfish/,mcddiscoverfish,Yes,
Missouri Governor's Mansion,Instagram,Governor,Governor,https://www.instagram.com/missourigovernorsmansion/,missourigovernorsmansion,,
Missouri Wine,Instagram,Economic Development,Division of Tourism,https://www.instagram.com/missouriwine/,missouriwine,,
Missouri State Parks Fanpage,Instagram,Natural Resources,Division of State Parks,https://www.instagram.com/missouristateparks/,missouristateparks,,
Missouri Grown USA,Instagram,Agriculture,Department of Agriculture,https://www.instagram.com/missourigrownusa/,missourigrownusa,,
Missouri State Highway Patrol Fanpage,Instagram,Public Safety,Missouri State Highway Patrol,https://www.instagram.com/missouri_highway_patrol/,missouri_highway_patrol,Yes,
